# Downloaded from spglobal.com on 18/01/23,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
,,,,,,,,,,,Copper,Copper,Nickel,Nickel,Cobalt,Cobalt,Gold,Gold,Copper,Copper,Nickel,Nickel,Cobalt,Cobalt,Gold,Gold
Property Name,Property ID,Primary Commodity,Country / Region Name,Latitude (degrees),Longitude (degrees),Commodity 1,Commodity 2,Commodity 3,Ore Processed Mass (tonnes),"Ore Processed Mass
(tonnes)","Commodity Production - tonne
(tonnes)","Commodity Production - tonne
(tonnes)","Commodity Production - tonne
(tonnes)","Commodity Production - tonne
(tonnes)","Commodity Production - tonne
(tonnes)","Commodity Production - tonne
(tonnes)","Commodity Production - oz
(oz)","Commodity Production - oz
(oz)","MillHead Grade - percent
(%)","MillHead Grade - percent
(%)","MillHead Grade - percent
(%)","MillHead Grade - percent
(%)","MillHead Grade - percent
(%)","MillHead Grade - percent
(%)","MillHead Grade - g/tonne
(g/tonne)","MillHead Grade - g/tonne
(g/tonne)"
Ichimpe,39252,Copper,Zambia,-12.748320,28.138240,Copper,Cobalt,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hebei Jidong,37833,Copper,Zambia,-15.416440,28.283300,Copper,Gold,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emmanuel,62213,Manganese,Zambia,-14.455000,28.547000,Manganese,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cu and Co Tailings,85700,Copper,Zambia,-14.459900,28.431010,Copper,Cobalt,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Collum,38354,Coal,Zambia,-17.156940,27.364440,Coal,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chumbwe,27157,Gold,Zambia,-15.616110,28.821110,Gold,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chilembwe,59823,Phosphate,Zambia,-13.980000,31.680000,Phosphate,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chibuluma South,31323,Copper,Zambia,-12.913060,28.080280,Copper,Cobalt,,"188,916",NA,"3,051","8,023",NA,NA,NA,NA,NA,NA,1.900,NA,NA,NA,NA,NA,NA,NA
Chambishi West,36116,Copper,Zambia,-12.651980,28.041870,Copper,Cobalt,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chambishi SXEW,85074,Copper,Zambia,-12.650510,28.044160,Copper,Cobalt,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chambishi,28268,Copper,Zambia,-12.658890,28.044720,Copper,Cobalt,,NA,NA,"66,005","40,163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baluba,28272,Copper,Zambia,-13.048610,28.338060,Copper,Cobalt,,NA,NA,"13,836","13,612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
